DDELAP_1,PDELAP_1,DDELAP_2,PDELAP_2,DDELAP_3,PDELAP_3,DDELAP_Triple,PDELAP_Triple
0.027067057,0.027067057,0.001684487,0.001684487,3.37734E-05,3.37734E-05,0.027067057,0.027067057
0.075787759,0.102854815,0.01010692,0.011791407,0.000303961,0.000337734,0.01010692,0.011791407
0.11476432,0.217619135,0.030741883,0.04253329,0.001390339,0.001728073,0.001390339,0.001728073
0.127900865,0.34552,0.063308627,0.105841917,0.004316116,0.006044189,0.127900865,0.34552
0.120365396,0.465885397,0.099489999,0.205331916,0.010247258,0.016291447,0.099489999,0.205331916
0.103510199,0.569395596,0.127529684,0.3328616,0.019881893,0.03617334,0.019881893,0.03617334
0.08521412,0.654609716,0.139212887,0.472074487,0.032898247,0.069071587,0.08521412,0.654609716
0.068858713,0.723468429,0.133441681,0.605516169,0.047842149,0.116913736,0.133441681,0.605516169
0.055258825,0.778727253,0.11495797,0.720474138,0.062539693,0.179453429,0.062539693,0.179453429
0.04424525,0.822972503,0.090663944,0.811138082,0.074793212,0.254246642,0.04424525,0.822972503
0.035403838,0.858376341,0.066457648,0.87759573,0.083004628,0.33725127,0.066457648,0.87759573
0.028324459,0.8867008,0.045852207,0.923447937,0.086488259,0.423739529,0.086488259,0.423739529
0.022659799,0.909360598,0.030096355,0.953544291,0.085440553,0.509180082,0.022659799,0.909360598
0.018127874,0.927488473,0.018963518,0.97250781,0.080682886,0.589862968,0.018963518,0.97250781
0.014502305,0.941990777,0.011557364,0.984065173,0.073333934,0.663196903,0.073333934,0.663196903
0.011601844,0.953592622,0.006855796,0.990920969,0.064529022,0.727725924,0.011601844,0.953592622
0.009281476,0.962874097,0.003978739,0.994899708,0.055239149,0.782965073,0.003978739,0.994899708
0.00742518,0.970299278,0.002268404,0.997168112,0.046190265,0.829155338,0.046190265,0.829155338
0.005940144,0.976239422,0.001274723,0.998442834,0.037856631,0.867011969,0.005940144,0.976239422
0.004752116,0.980991538,0.000707886,0.99915072,0.030496562,0.89750853,0.000707886,0.99915072
0.003801692,0.98479323,0.000389271,0.999539991,0.024204728,0.921713259,0.024204728,0.921713259
0.003041354,0.987834584,0.000212315,0.999752307,0.018964523,0.940677781,0.003041354,0.987834584
0.002433083,0.990267667,0.000115001,0.999867308,0.01469221,0.955369991,0.000115001,0.999867308
0.001946467,0.992214134,6.19231E-05,0.999929231,0.011270197,0.966640188,0.011270197,0.966640188
0.001557173,0.993771307,3.3173E-05,0.999962404,0.008569909,0.975210097,0.001557173,0.993771307
0.001245739,0.995017046,1.76922E-05,0.999980096,0.006466139,0.981676236,1.76922E-05,0.999980096
0.000996591,0.996013637,9.399E-06,0.999989495,0.004845051,0.986521287,0.004845051,0.986521287
0.000797273,0.996810909,4.97594E-06,0.999994471,0.003607816,0.990129103,0.000797273,0.996810909
0.000637818,0.997448727,2.62619E-06,0.999997097,0.002671457,0.992800559,2.62619E-06,0.999997097
0.000510255,0.997958982,1.38221E-06,0.99999848,0.001968063,0.994768622,0.001968063,0.994768622
0.000408204,0.998367186,7.25658E-07,0.999999205,0.001443166,0.996211788,0.000408204,0.998367186
0.000326563,0.998693748,3.80106E-07,0.999999585,0.001053791,0.99726558,3.80106E-07,0.999999585
0.00026125,0.998954999,1.98692E-07,0.999999784,0.000766491,0.99803207,0.000766491,0.99803207
0.000209,0.999163999,1.03665E-07,0.999999888,0.000555531,0.998587601,0.000209,0.999163999
0.0001672,0.999331199,5.39924E-08,0.999999942,0.000401309,0.99898891,5.39924E-08,0.999999942
0.00013376,0.999464959,2.8076E-08,0.99999997,0.000289018,0.999277928,0.000289018,0.999277928
0.000107008,0.999571967,1.45779E-08,0.999999984,0.00020756,0.999485488,0.000107008,0.999571967
